USA - Cases: 180271, Deaths: 3573, Recovered: 6241
Lebanon - Cases: 463, Deaths: 12, Recovered: 37
Bosnia and Herzegovina - Cases: 411, Deaths: 12, Recovered: 17
Bulgaria - Cases: 399, Deaths: 8, Recovered: 17
Latvia - Cases: 398, Deaths: 0, Recovered: 1
Andorra - Cases: 370, Deaths: 8, Recovered: 10
Slovakia - Cases: 363, Deaths: 0, Recovered: 3
Tunisia - Cases: 362, Deaths: 10, Recovered: 3
Moldova - Cases: 353, Deaths: 4, Recovered: 18
Kazakhstan - Cases: 340, Deaths: 2, Recovered: 22
Costa Rica - Cases: 330, Deaths: 2, Recovered: 4
North Macedonia - Cases: 329, Deaths: 9, Recovered: 12
Taiwan - Cases: 322, Deaths: 5, Recovered: 39
Uruguay - Cases: 320, Deaths: 1, Recovered: 25
Azerbaijan - Cases: 298, Deaths: 5, Recovered: 26
Kuwait - Cases: 289, Deaths: 0, Recovered: 73
Jordan - Cases: 274, Deaths: 5, Recovered: 30
Cyprus - Cases: 262, Deaths: 8, Recovered: 23
Burkina Faso - Cases: 261, Deaths: 14, Recovered: 32
Réunion - Cases: 247, Deaths: 0, Recovered: 1
Albania - Cases: 243, Deaths: 15, Recovered: 52
San Marino - Cases: 230, Deaths: 25, Recovered: 13
Vietnam - Cases: 207, Deaths: 0, Recovered: 58
Cameroon - Cases: 193, Deaths: 6, Recovered: 5
Oman - Cases: 192, Deaths: 0, Recovered: 34
Cuba - Cases: 186, Deaths: 6, Recovered: 8
Senegal - Cases: 175, Deaths: 0, Recovered: 40
Afghanistan - Cases: 174, Deaths: 4, Recovered: 5
Uzbekistan - Cases: 172, Deaths: 2, Recovered: 7
Faeroe Islands - Cases: 169, Deaths: 0, Recovered: 74
Malta - Cases: 169, Deaths: 0, Recovered: 2
Ivory Coast - Cases: 168, Deaths: 1, Recovered: 6
Ghana - Cases: 161, Deaths: 5, Recovered: 31
Belarus - Cases: 152, Deaths: 1, Recovered: 47
Mauritius - Cases: 143, Deaths: 5, Recovered: 0
Sri Lanka - Cases: 143, Deaths: 2, Recovered: 17
Honduras - Cases: 141, Deaths: 7, Recovered: 3
Channel Islands - Cases: 141, Deaths: 3, Recovered: 0
Venezuela - Cases: 135, Deaths: 3, Recovered: 39
Nigeria - Cases: 135, Deaths: 2, Recovered: 8
Brunei  - Cases: 129, Deaths: 1, Recovered: 45
Martinique - Cases: 128, Deaths: 3, Recovered: 27
Palestine - Cases: 117, Deaths: 1, Recovered: 18
Georgia - Cases: 110, Deaths: 0, Recovered: 21
Montenegro - Cases: 109, Deaths: 2, Recovered: 0
Cambodia - Cases: 109, Deaths: 0, Recovered: 23
Bolivia - Cases: 107, Deaths: 6, Recovered: 0
Kyrgyzstan - Cases: 107, Deaths: 0, Recovered: 3
Guadeloupe - Cases: 106, Deaths: 4, Recovered: 17
DRC - Cases: 98, Deaths: 8, Recovered: 2
Mayotte - Cases: 94, Deaths: 1, Recovered: 10
Trinidad and Tobago - Cases: 85, Deaths: 3, Recovered: 1
Rwanda - Cases: 70, Deaths: 0, Recovered: 0
Gibraltar - Cases: 69, Deaths: 0, Recovered: 34
Liechtenstein - Cases: 68, Deaths: 0, Recovered: 0
Paraguay - Cases: 65, Deaths: 3, Recovered: 1
Isle of Man - Cases: 60, Deaths: 0, Recovered: 0
Kenya - Cases: 59, Deaths: 1, Recovered: 1
Aruba - Cases: 55, Deaths: 0, Recovered: 1
Monaco - Cases: 52, Deaths: 1, Recovered: 2
Bangladesh - Cases: 51, Deaths: 5, Recovered: 25
Madagascar - Cases: 46, Deaths: 0, Recovered: 0
Uganda - Cases: 44, Deaths: 0, Recovered: 0
French Guiana - Cases: 43, Deaths: 0, Recovered: 6
Macao - Cases: 41, Deaths: 0, Recovered: 10
Guatemala - Cases: 36, Deaths: 1, Recovered: 10
Jamaica - Cases: 36, Deaths: 1, Recovered: 2
French Polynesia - Cases: 36, Deaths: 0, Recovered: 0
Zambia - Cases: 35, Deaths: 0, Recovered: 0
Togo - Cases: 34, Deaths: 1, Recovered: 10
Barbados - Cases: 34, Deaths: 0, Recovered: 0
El Salvador - Cases: 32, Deaths: 0, Recovered: 0
Djibouti - Cases: 30, Deaths: 0, Recovered: 0
Mali - Cases: 28, Deaths: 2, Recovered: 0
Niger - Cases: 27, Deaths: 3, Recovered: 0
Bermuda - Cases: 27, Deaths: 0, Recovered: 10
Ethiopia - Cases: 26, Deaths: 0, Recovered: 2
Guinea - Cases: 22, Deaths: 0, Recovered: 0
Tanzania - Cases: 19, Deaths: 1, Recovered: 1
Congo - Cases: 19, Deaths: 0, Recovered: 0
Maldives - Cases: 18, Deaths: 0, Recovered: 13
Gabon - Cases: 16, Deaths: 1, Recovered: 0
New Caledonia - Cases: 16, Deaths: 0, Recovered: 0
Myanmar - Cases: 15, Deaths: 1, Recovered: 0
Saint Martin - Cases: 15, Deaths: 1, Recovered: 2
Eritrea - Cases: 15, Deaths: 0, Recovered: 0
Haiti - Cases: 15, Deaths: 0, Recovered: 1
Bahamas - Cases: 14, Deaths: 0, Recovered: 1
Guyana - Cases: 12, Deaths: 2, Recovered: 0
Cayman Islands - Cases: 12, Deaths: 1, Recovered: 0
Dominica - Cases: 12, Deaths: 0, Recovered: 0
Equatorial Guinea - Cases: 12, Deaths: 0, Recovered: 1
Mongolia - Cases: 12, Deaths: 0, Recovered: 2
Curaçao - Cases: 11, Deaths: 1, Recovered: 2
Namibia - Cases: 11, Deaths: 0, Recovered: 2
Syria - Cases: 10, Deaths: 2, Recovered: 0
Greenland - Cases: 10, Deaths: 0, Recovered: 2
Seychelles - Cases: 10, Deaths: 0, Recovered: 0
Benin - Cases: 9, Deaths: 0, Recovered: 1
Grenada - Cases: 9, Deaths: 0, Recovered: 0
Laos - Cases: 9, Deaths: 0, Recovered: 0
Saint Lucia - Cases: 9, Deaths: 0, Recovered: 1
Eswatini - Cases: 9, Deaths: 0, Recovered: 0
Zimbabwe - Cases: 8, Deaths: 1, Recovered: 0
Guinea-Bissau - Cases: 8, Deaths: 0, Recovered: 0
Libya - Cases: 8, Deaths: 0, Recovered: 0
Mozambique - Cases: 8, Deaths: 0, Recovered: 0
Saint Kitts and Nevis - Cases: 8, Deaths: 0, Recovered: 0
Suriname - Cases: 8, Deaths: 0, Recovered: 0
Angola - Cases: 7, Deaths: 2, Recovered: 1
Sudan - Cases: 7, Deaths: 2, Recovered: 1
Antigua and Barbuda - Cases: 7, Deaths: 0, Recovered: 0
Chad - Cases: 7, Deaths: 0, Recovered: 0
Cabo Verde - Cases: 6, Deaths: 1, Recovered: 0
Mauritania - Cases: 6, Deaths: 1, Recovered: 2
Vatican City - Cases: 6, Deaths: 0, Recovered: 0
St. Barth - Cases: 6, Deaths: 0, Recovered: 1
Sint Maarten - Cases: 6, Deaths: 0, Recovered: 0
Nepal - Cases: 5, Deaths: 0, Recovered: 1
Fiji - Cases: 5, Deaths: 0, Recovered: 0
Montserrat - Cases: 5, Deaths: 0, Recovered: 0
Somalia - Cases: 5, Deaths: 0, Recovered: 1
Turks and Caicos - Cases: 5, Deaths: 0, Recovered: 0
Gambia - Cases: 4, Deaths: 1, Recovered: 0
Nicaragua - Cases: 4, Deaths: 1, Recovered: 0
Bhutan - Cases: 4, Deaths: 0, Recovered: 0
Belize - Cases: 3, Deaths: 0, Recovered: 0
Botswana - Cases: 3, Deaths: 0, Recovered: 0
British Virgin Islands - Cases: 3, Deaths: 0, Recovered: 0
CAR - Cases: 3, Deaths: 0, Recovered: 0
Liberia - Cases: 3, Deaths: 0, Recovered: 0
MS Zaandam - Cases: 2, Deaths: 0, Recovered: 0
Anguilla - Cases: 2, Deaths: 0, Recovered: 0
Burundi - Cases: 2, Deaths: 0, Recovered: 0
Papua New Guinea - Cases: 1, Deaths: 0, Recovered: 0
St. Vincent Grenadines - Cases: 1, Deaths: 0, Recovered: 1
Sierra Leone - Cases: 1, Deaths: 0, Recovered: 0
Timor-Leste - Cases: 1, Deaths: 0, Recovered: 0
China - Cases: 81518, Deaths: 3305, Recovered: 76052
Total: - Cases: 841285, Deaths: 41403, Recovered: 176097
